current mass in position 19,x_c,x_f
3.489,48.612,46
3.49,48.612,46
3.491,48.612,46
3.492,48.612,46
3.493,48.611,46
3.494,48.611,46
3.495,48.611,46
3.496,48.611,46
3.497,48.611,46
3.498,48.611,46
3.499,48.611,46
3.5,48.611,46
3.501,48.611,46
3.502,48.611,46
3.503,48.611,46
3.504,48.611,46
3.505,48.611,46
3.506,48.611,46
3.507,48.611,46
3.508,48.611,46
3.509,48.611,46
3.51,48.61,46
3.511,48.61,46
3.512,48.61,46
3.513,48.61,46
3.514,48.61,46
3.515,48.61,46
3.516,48.61,46
3.517,48.61,46
3.518,48.61,46
3.519,48.61,46
3.52,48.61,46
3.521,48.61,46
3.522,48.61,46
3.523,48.61,46
3.524,48.61,46
3.525,48.61,46
3.526,48.61,46
3.527,48.61,46
3.528,48.609,46
3.529,48.609,46
3.53,48.609,46
3.531,48.609,46
3.532,48.609,46
3.533,48.609,46
3.534,48.609,46
3.535,48.609,46
3.536,48.609,46
3.537,48.609,46
3.538,48.609,46
3.539,48.609,46
3.54,48.609,46
3.541,48.609,46
3.542,48.609,46
3.543,48.609,46
3.544,48.609,46
3.545,48.609,46
3.546,48.608,46
3.547,48.608,46
3.548,48.608,46
3.549,48.608,46
3.55,48.608,46
3.551,48.608,46
3.552,48.608,46
3.553,48.608,46
3.554,48.608,46
3.555,48.608,46
3.556,48.608,46
3.557,48.608,46
3.558,48.608,46
3.559,48.608,46
3.56,48.608,46
3.561,48.608,46
3.562,48.608,46
3.563,48.608,46
3.564,48.607,46
3.565,48.607,46
3.566,48.607,46
3.567,48.607,46
3.568,48.607,46
3.569,48.607,46
3.57,48.607,46
3.571,48.607,46
3.572,48.607,46
3.573,48.607,46
3.574,48.607,46
3.575,48.607,46
3.576,48.607,46
3.577,48.607,46
3.578,48.607,46
3.579,48.607,46
3.58,48.607,46
3.581,48.606,46
3.582,48.606,46
3.583,48.606,46
3.584,48.606,46
3.585,48.606,46
3.586,48.606,46
3.587,48.606,46
3.588,48.606,46
3.589,48.606,46
3.59,48.606,46
3.591,48.606,46
3.592,48.606,46
3.593,48.606,46
3.594,48.606,46
3.595,48.606,46
3.596,48.606,46
3.597,48.606,46
3.598,48.606,46
3.599,48.605,46
3.6,48.605,46
3.601,48.605,46
3.602,48.605,46
